Year,Month,Day,Site,SumOfSumVolume
2020,3,6,3,29726
2020,3,7,3,27418
2020,3,8,3,25343
2020,3,9,3,25768
2020,3,10,3,26189
2020,3,11,3,26632
2020,3,12,3,26553
2020,3,13,3,25742
2020,3,14,3,19973
2020,3,15,3,16771
2020,3,16,3,20537
2020,3,17,3,13854
2020,3,18,3,19891
2020,3,19,3,19059
2020,3,20,3,18694
2020,3,21,3,13864
2020,3,22,3,13076
2020,3,23,3,16862
2020,3,24,3,16916
2020,3,25,3,15858
2020,3,26,3,15626
2020,3,27,3,16620
2020,3,28,3,7514
2020,3,29,3,5301
2020,3,30,3,10277
2020,3,31,3,9539
2020,4,1,3,9647
2020,4,2,3,9688
2020,4,3,3,10255
2020,4,4,3,7104
2020,4,5,3,5619
2020,4,6,3,9516
2020,4,7,3,9762
2020,4,8,3,9617
2020,4,9,3,9940
2020,4,10,3,8126
2020,4,11,3,6909
2020,4,12,3,5070
2020,4,13,3,5535
2020,4,14,3,9653
2020,4,15,3,10030
2020,4,16,3,10063
2020,4,17,3,10209
2020,4,18,3,7146
2020,4,19,3,5765
2020,4,20,3,9764
2020,4,21,3,10288
2020,4,22,3,10590
2020,4,23,3,10649
2020,4,24,3,10681
2020,4,25,3,7653
2020,4,26,3,5873
2020,4,27,3,10291
2020,4,28,3,10562
2020,4,29,3,10701
2020,4,30,3,11134
2020,5,1,3,11387
2020,5,2,3,7898
2020,5,3,3,6396
2020,5,4,3,6658
2020,5,5,3,11785
2020,5,6,3,12197
2020,5,7,3,12212
2020,5,8,3,12524
2020,5,9,3,9352
2020,5,10,3,7275
2020,5,11,3,11456
2020,5,12,3,12135
2020,5,13,3,12259
2020,5,14,3,12909
2020,5,15,3,13205
2020,5,16,3,9977
2020,5,17,3,8399
2020,5,18,3,13718
2020,5,19,3,14382
2020,5,20,3,15278
2020,5,21,3,15001
2020,5,22,3,15332
2020,5,23,3,11384
2020,5,24,3,9845
2020,5,25,3,15072
2020,5,26,3,15278
2020,5,27,3,15706
2020,5,28,3,16174
2020,5,29,3,16619
2020,5,30,3,12507
2020,5,31,3,10707
2020,6,1,3,11429
2020,6,2,3,17031
2020,6,3,3,16314
2020,6,4,3,299
2020,1,2,4,11177
2020,1,3,4,11757
2020,1,4,4,9826
2020,1,5,4,8941
2020,1,6,4,12028
2020,1,7,4,12752
2020,1,8,4,12125
2020,1,9,4,12769
2020,1,10,4,13563
2020,1,11,4,11409
2020,1,12,4,9285
2020,1,13,4,13550
2020,1,14,4,13383
2020,1,15,4,10840
2020,1,16,4,11198
2020,1,17,4,11390
2020,1,18,4,8444
2020,1,19,4,7140
2020,1,20,4,10577
2020,1,21,4,11254
2020,1,22,4,11120
2020,1,23,4,10797
2020,1,24,4,11743
2020,1,25,4,9279
2020,1,26,4,7616
2020,1,27,4,10257
2020,1,28,4,11346
2020,1,29,4,11668
2020,1,30,4,11734
2020,1,31,4,12330
2020,2,1,4,8839
2020,2,2,4,7977
2020,2,3,4,10581
2020,2,4,4,10745
2020,2,5,4,11127
2020,2,6,4,12030
2020,2,7,4,12476
2020,2,8,4,9765
2020,2,9,4,7464
2020,2,10,4,11095
2020,2,11,4,11388
2020,2,12,4,11333
2020,2,13,4,11348
2020,2,14,4,11719
2020,2,15,4,9073
2020,2,16,4,7447
2020,2,17,4,10266
2020,2,18,4,11198
2020,2,19,4,11338
2020,2,20,4,11425
2020,2,21,4,11384
2020,2,22,4,4059
2020,2,23,4,5002
2020,2,24,4,10985
2020,2,25,4,10782
2020,2,26,4,10501
2020,2,27,4,10918
2020,2,28,4,12181
2020,2,29,4,9468
2020,3,1,4,7222
2020,3,2,4,11050
2020,3,3,4,8698
2020,3,4,4,11339
2020,3,5,4,10096
2020,3,6,4,12061
2020,3,7,4,9395
2020,3,8,4,3586
2020,3,9,4,8885
2020,3,10,4,10715
2020,3,11,4,11584
2020,3,12,4,11398
2020,3,13,4,10443
2020,3,14,4,7116
2020,3,15,4,5771
2020,3,16,4,8120
2020,3,17,4,3440
2020,3,18,4,8361
2020,3,19,4,7767
2020,3,20,4,7053
2020,3,21,4,5827
2020,3,22,4,4931
2020,3,23,4,6856
2020,3,24,4,7104
2020,3,25,4,6351
2020,3,26,4,6836
2020,3,27,4,7204
2020,3,28,4,3826
2020,3,29,4,2610
2020,3,30,4,4513
2020,3,31,4,4153
2020,4,1,4,4252
2020,4,2,4,4534
2020,4,3,4,4804
2020,4,4,4,3750
2020,4,5,4,2860
2020,4,6,4,4359
2020,4,7,4,4498
2020,4,8,4,4389
2020,4,9,4,4729
2020,4,10,4,4564
2020,4,11,4,3676
2020,4,12,4,2554
2020,4,13,4,3155
2020,4,14,4,4489
2020,4,15,4,4628
2020,4,16,4,5226
2020,4,17,4,5403
2020,4,18,4,4001
2020,4,19,4,2995
2020,4,20,4,4773
2020,4,21,4,4854
2020,4,22,4,5094
2020,4,23,4,5309
2020,4,24,4,5754
2020,4,25,4,4485
2020,4,26,4,3239
2020,4,27,4,5238
2020,4,28,4,5385
2020,4,29,4,5160
2020,4,30,4,5648
2020,5,1,4,5673
2020,5,2,4,4373
2020,5,3,4,3376
2020,5,4,4,3565
